# PTX spill ratchet — tools/ptx-spill-check.sh (recipe `just gate-ptx-spill`) holds every entry of
# these binaries to the spill and jit_local bytes pinned here: `spill` is ptxas's spill stores
# (bytes), `jit_local` the driver JIT's local bytes per thread (tools/ptx-scan.sh's columns). The
# check is exact: a value above its pin, below it, an entry the scan prints that has no row, and a
# row whose entry the scan no longer prints are each a failure. A nonzero pin carries a PIN line.
# Pinned from the scans on ptxas 13.3.73, sm_86, JIT on the RTX 3090 with CUDA 13.4.
#
# binary          entry                              spill  jit_local

# generate_ds41 (--features gpu,deepseek41)
generate_ds41   q4k_gemv_grouped                        0          0
generate_ds41   q4k_gemv_mcol                           0          0
generate_ds41   q4k_gemv_sel                            0          0
generate_ds41   q5_0_gemv                               0          0
generate_ds41   q5_0_gemv_sel                           0          0
generate_ds41   q5_1_gemv                               0          0
generate_ds41   q5_q8_1_quantize_pair                   0          0
generate_ds41   q5_quantize_q8                          0          0
generate_ds41   q6k_gemv                                0          0
generate_ds41   q6k_gemv_sel                            0          0
generate_ds41   q8_0_gemv                               0          0
generate_ds41   q8_0_gemv_heads                         0          0
generate_ds41   q8_0_gemv_heads_mcol                    0          0
generate_ds41   q8_0_gemv_mcol                          0          0
generate_ds41   q8_1_quantize_sel                       0          0
generate_ds41   qwen3moe_combine                        0          0
generate_ds41   qwen3moe_gate_up_swiglu_q4k             0          0
generate_ds41   qwen3moe_head_q6k_argmax                0          0
generate_ds41   qwen3moe_o_resid_q4k                    0          0
generate_ds41   qwen3moe_qkv_q4k                        0          0
generate_ds41   qwen3moe_router                         0          0
generate_ds41   qwen3moe_router_fused                   0          0
generate_ds41   qwen3moe_router_logits                  0          0
generate_ds41   qwen3moe_router_norm                    0          0
generate_ds41   qwen3moe_router_route                   0          0
generate_ds41   qwen3moe_token_major                    0          0
generate_ds41   rms_norm                                0          0
generate_ds41   rope                                    0          0
generate_ds41   router_topk                             0          0
generate_ds41   swiglu                                  0          0
generate_ds41   touch                                   0          0
generate_ds41   two_phase                               0          0
generate_ds41   weighted_sum                            0          0

# gate_e2e (--features gpu)
gate_e2e        add                                     0          0
gate_e2e        argmax                                  0          0
gate_e2e        argmax_fault                            0          0
gate_e2e        argmax_rows                             0          0
gate_e2e        argmax_rows_fault                       0          0
gate_e2e        card_sel                                0          0
gate_e2e        down_add_q5_1                           0          0
gate_e2e        embed_rows                              0          0
gate_e2e        embed_rows_q4k                          0          0
gate_e2e        expert_gate_up_swiglu_q3k               0          0
gate_e2e        expert_table                            0          0
gate_e2e        f32_gemv                                0          0
gate_e2e        flash_latent                            0          0
gate_e2e        flash_latent_mma                        0          0
gate_e2e        flash_latent_q8                         0          0
gate_e2e        flash_latent_seg                        0          0
gate_e2e        flash_latent_seg_coll2                  0          0
gate_e2e        flash_latent_seg_qk2                    0          0
gate_e2e        flash_latent_seg_sm2                    0          0
gate_e2e        flash_latent_seg_sync2                  0          0
# PIN(2026-09-24): flash_latent_seg_v2 is the TWICE_V probe entry (probe_cfg.flash_v2); its second V pass compiles to a small local spill at the shipped entry's two blocks per SM, which its doc names as the point of the arm.
gate_e2e        flash_latent_seg_v2                    36         16
gate_e2e        flash_merge                             0          0
